COGA1-GFN48 + COGA1-RLS39,0.5
CO6A6-VKF46 + CO6A6-VKF33,1
CO6A6-VKF46 + CO6A6-IRR45,1
CO6A6-VKF33 + CO6A6-IRR45,1
GDN-RTK46 + GDN-RTK34,0.5625
NDNF-KIT31 + NDNF-FQL42,0.75
BRNP3-MKQ43 + BRNP3-LFL40,1
BRNP3-MKQ43 + BRNP3-KWL33,0.75
BRNP3-LFL40 + BRNP3-KWL33,1
BRNP2-LKV32 + BRNP2-LKV43,0.375
IMPG1-KMY41 + IMPG1-LAG31,0.5625
ODAPH-RRP47 + ODAPH-RPF36,2
IGS10-FPI47 + IGS10-IPL37,0.75
IGS10-FPI47 + IGS10-IIA46,2
IGS10-IPL37 + IGS10-IIA46,0.5
CD8B-FLP44 + CD8B-KKS35,0.375
CD8B-FLP44 + CD8B-FLP40,0.75
CD8B-KKS35 + CD8B-FLP40,0.3125
I17RE-RPL39 + I17RE-LRA43,0.75
LRC17-RKL41 + LRC17-LLH28,0.75
