,Peptide 1,Synergy 1,Synergy 2,Peptide 2,FICI
AIO10918.1-FLK14 + ADN88909.1-RAY26,4,2,2,8,0.75
AIO10918.1-FLK14 + ABN79624.1-KLY14,4,2,0.078,4,0.5195
AIO10918.1-FLK14 + ABN79624.1-CVL25,4,0.078,8,16,0.5195
CED79820.1-KLL26 + CED79820.1-KKW12,4,4,16,16,2
CED79820.1-KLL26 + CAA38232.1-RQK17,4,1,8,64,0.375
CED79820.1-KLL26 + CAA38232.1-IVG16,4,0.5,32,64,0.625
AQU14158.1-LHL12 + BAF96956.1-KTL10,4,1,16,32,0.75
ABV45725.1-IFL14 + ABG37012.1-RAC26,8,0.5,16,32,0.5625
ABV45725.1-IFL14 + BAF96956.1-KTL10,8,2,8,32,0.5
ABV45725.1-IFL14 + ACX48939.1-KKP30,8,2,4,32,0.375
CED79820.1-KKW12 + CAA38232.1-RQK17,16,4,32,64,0.75
CED79820.1-KKW12 + CAA38232.1-IVG16,16,16,64,64,2
ADN88909.1-RAY26 + ABN79624.1-CVL25,8,1,4,16,0.375
ABG37012.1-RAC26 + BAF96956.1-KTL10,32,32,32,32,2
ABG37012.1-RAC26 + ACX48939.1-KKP30,32,32,32,32,2
BAF96956.1-KTL10 + ACX48939.1-KKP30,32,8,8,32,0.5
AKN52354.1-LYC24 + AKN79944.1-RMA19,4,1,4,16,0.5
AKN52354.1-LYC24 + AKN79944.1-RNL29,4,0.5,4,16,0.375
CAA38232.1-RQK17 + CAA38232.1-IVG16,64,32,16,64,0.75
ARU77324.1-LIV13 + ANN03167.1-KWT13,8,2,4,8,0.75
AQU14158.1-IFL14 + AQU14158.1-LHL12,1,0.5,0.25,4,0.5625
AQU14158.1-IFL14 + BAF96956.1-KTL10,1,0.25,8,32,0.5
AKN79944.1-RMA19 + AKN79944.1-RNL29,16,8,8,16,1
SMQ11516.1-KRK18 + SMQ11516.1-RKR18,64,32,8,64,0.625
AFS17541.1-KVG15 + AFS17509.1-RKI16,32,8,16,64,0.5
ABN79624.1-KLY14 + ADN88909.1-RAY26,4,2,0.5,8,0.5625
ABN79624.1-KLY14 + ABN79624.1-CVL25,4,1,4,16,0.5
SMQ11516.1-KIY25 + SMQ11516.1-KRK18,16,1,32,64,0.5625
SMQ11516.1-KIY25 + SMQ11516.1-RKR18,16,4,16,64,0.5
AIO10918.1-FLK14 + ADN88909.1-RAY26,16,16,64,64,2
