DBAASP_id,strain_name,SMILES,MIC
ce_0,#004,"[1, 163, 163, 77, 163, 15, 163, 165, 77, 145, 15, 106, 163, 114, 163, 171, 158, 163, 145, 51, 17, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 165, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 108, 163, 51, 70, 51, 70, 50, 163, 77, 163, 77, 15, 163, 165, 163, 77, 70, 25, 163, 106, 51, 51, 17, 2]",1
ce_1,#004,"[1, 163, 165, 158, 77, 163, 158, 145, 70, 50, 163, 106, 163, 77, 15, 114, 163, 77, 70, 114, 36, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 70, 106, 163, 163, 163, 70, 70, 163, 163, 51, 70, 25, 163, 158, 1840, 108, 114, 163, 171, 114, 163, 171, 165, 2]",1
ce_2,#004,"[1, 163, 163, 163, 15, 163, 163, 163, 163, 163, 163, 163, 114, 163, 171, 158, 163, 15, 51, 163, 163, 158, 163, 114, 163, 171, 158, 163, 145, 145, 25, 163, 114, 163, 171, 158, 163, 15, 51, 163, 163, 158, 163, 114, 163, 171, 158, 163, 163, 163, 158, 163, 114, 163, 171, 163, 15, 114, 163, 15, 163, 163, 165, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 15, 25, 163, 163, 15, 163, 163, 163, 158, 163, 114, 163, 171, 163, 15, 117, 163, 163, 77, 163, 77, 163, 77, 70, 114, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 51, 15, 51, 171, 163, 15, 163, 163, 165, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2]",1
ce_3,#004,"[1, 126, 3157, 77, 15, 163, 158, 158, 163, 77, 163, 106, 70, 15, 2]",1
ce_4,#004,"[1, 126, 1736, 3157, 77, 145, 70, 77, 158, 163, 163, 163, 163, 163, 163, 158, 163, 114, 163, 106, 158, 163, 114, 163, 106, 158, 163, 77, 163, 77, 15, 163, 126, 163, 77, 70, 25, 158, 163, 114, 163, 106, 158, 163, 77, 163, 77, 15, 163, 126, 163, 77, 70, 25, 2]",1
ce_5,#004,"[1, 163, 163, 165, 163, 114, 163, 171, 163, 77, 15, 163, 163, 163, 77, 15, 163, 165, 163, 15, 70, 163, 171, 77, 70, 117, 165, 2]",1
ce_6,#004,"[1, 163, 165, 158, 77, 145, 51, 15, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 113, 77, 15, 145, 163, 165, 163, 15, 163, 163, 171, 163, 108, 163, 70, 50, 70, 77, 163, 77, 108, 163, 15, 163, 158, 106, 70, 114, 2640, 2]",1
ce_7,#004,"[1, 165, 77, 145, 70, 117, 158, 163, 15, 70, 163, 165, 163, 15, 163, 165, 163, 77, 163, 77, 15, 114, 89, 114, 163, 171, 113, 163, 77, 70, 17, 163, 15, 163, 126, 126, 2]",1
ce_8,#004,"[1, 163, 165, 163, 77, 15, 158, 158, 163, 163, 158, 163, 15, 163, 163, 163, 70, 25, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 51, 70, 17, 40, 106, 2]",1
ce_9,#004,"[1, 163, 163, 106, 158, 77, 145, 51, 17, 108, 163, 163, 77, 15, 114, 163, 114, 163, 171, 113, 158, 163, 114, 163, 171, 163, 15, 77, 158, 163, 114, 163, 171, 163, 158, 163, 106, 158, 106, 70, 15, 163, 70, 77, 108, 163, 51, 70, 15, 108, 51, 70, 158, 2640, 2]",1
